geocode,commune,popdens10,poptot10,pophom10,popfem10,empl_eq1_08,empl_eq2_08,empl_eq3_08,pempl_eq1_08,pempl_eq2_08,pempl_eq3_08
6239,Icogne,21.1,524,259,265,6,35,39,7.5,43.8,48.8
6240,Lens,270,3779,1877,1902,106,173,758,10.2,16.7,73.1
6241,Miège,487,1245,597,648,40,51,46,29.2,37.2,33.6
6242,Mollens,27.8,913,462,451,4,37,41,4.9,45.1,50.0
6243,Montana,480,2377,1150,1227,37,192,918,3.2,16.7,80.0
6244,Randogne,260,4279,2114,2165,17,115,953,1.6,10.6,87.8
6246,St-Léonard,545,2117,1036,1081,39,86,228,11.0,24.4,64.6
6248,Sierre,812,15527,7506,8021,132,2570,5172,1.7,32.6,65.7
6249,Venthône,468,1173,572,601,25,30,76,19.1,22.9,58.0
6250,Veyras,1183,1699,847,852,14,61,51,11.1,48.4,40.5
6252,Anniviers,10.8,2617,1365,1252,49,341,558,5.2,36.0,58.9
6261,Arbaz,56.4,1085,545,540,18,37,38,19.4,39.8,40.9
6263,Grimisuat,638,2838,1406,1432,64,69,279,15.5,16.7,67.7
6264,Salins,234,982,483,499,38,32,98,22.6,19.0,58.3
6265,Savièse,92.9,6596,3226,3370,203,339,438,20.7,34.6,44.7
6266,Sion,1186,30363,14541,15822,246,4830,16263,1.2,22.6,76.2
6267,Veysonnaz,496,567,269,298,7,18,113,5.1,13.0,81.9
6281,Baltschieder,38.6,1209,612,597,11,12,37,18.3,20.0,61.7
6282,Eisten,5.76,219,104,115,4,7,4,26.7,46.7,26.7
6283,Embd,23.5,315,158,157,19,7,18,43.2,15.9,40.9
6285,Grächen,98.1,1400,680,720,13,59,307,3.4,15.6,81.0
6286,Lalden,509,662,328,334,15,252,10,5.4,91.0,3.6
6287,Randa,8.03,438,212,226,13,46,27,15.1,53.5,31.4
6288,Saas-Almagell,3.52,389,186,203,9,40,135,4.9,21.7,73.4
6289,Saas-Balen,13.5,407,194,213,8,7,36,15.7,13.7,70.6
6290,Saas-Fee,43.5,1758,880,878,2,124,1071,0.2,10.4,89.5
6291,Saas-Grund,44.7,1108,554,554,19,64,266,5.4,18.3,76.2
6292,St. Niklaus,26.4,2358,1180,1178,62,582,310,6.5,61.0,32.5
6293,Stalden,106,1114,526,588,15,90,174,5.4,32.3,62.4
6294,Staldenried,39.1,557,276,281,14,4,29,29.8,8.5,61.7
6295,Täsch,19.2,1126,579,547,5,17,176,2.5,8.6,88.9
6296,Törbel,28,491,248,243,34,10,39,41.0,12.0,47.0
6297,Visp,531,7014,3478,3536,34,4110,3044,0.5,57.2,42.3
6298,Visperterminen,26.6,1373,679,694,38,333,91,8.2,72.1,19.7
6299,Zeneggen,36.5,276,135,141,15,0,10,60.0,0.0,40.0
6300,Zermatt,23.6,5720,2937,2783,20,538,3703,0.5,12.6,86.9
